data, nivel, localizacao, metrica, valores, mercado;
2022, Cidade, Setúbal, preco m2, 7.58, arrendamento;
2022, Cidade, Terceira, preco m2, 1.046, arrendamento;
2022, Cidade, Viana do Castelo, preco m2, 5.48 , arrendamento;
2022, Cidade, Vila Real, preco m2, 4.38, arrendamento;
2022, Cidade, Viseu, preco m2, 4.89, arrendamento;
2023, Cidade, Aveiro, preco m2, 5.77, arrendamento;
2023, Cidade, Beja, preco m2, 5.69, arrendamento;
2023, Cidade, Braga, preco m2, 6.98, arrendamento;
2023, Cidade, Bragança, preco m2, 3.19, arrendamento;
2023, Cidade, Castelo Branco, preco m2, 4, arrendamento;
2023, Cidade, Coimbra, preco m2, 5.62, arrendamento;
2023, Cidade, Évora, preco m2, 6.83 , arrendamento;
2023, Cidade, Faial, preco m2, 4.07, arrendamento;
2023, Cidade, Faro, preco m2, 7.25, arrendamento;
2023, Cidade, Guarda, preco m2, 4.01 , arrendamento;
2023, Cidade, Leiria, preco m2, 5.30, arrendamento;
2023, Cidade, Lisboa, preco m2, 11.05 , arrendamento;
2023, Cidade, Madeira, preco m2, 8.33, arrendamento;
2023, Cidade, Portalegre, preco m2, 3.51, arrendamento;
2023, Cidade, Porto, preco m2, 7.98, arrendamento;
2023, Cidade, Santarém, preco m2, 5.63, arrendamento;
2023, Cidade, São Miguel, preco m2, 4.79, arrendamento;
2023, Cidade, Setúbal, preco m2, 8.95, arrendamento;
2023, Cidade, Terceira, preco m2, 1.153, arrendamento;
2023, Cidade, Viana do Castelo, preco m2, 6.31, arrendamento;
2023, Cidade, Vila Real, preco m2, 4.68, arrendamento;
2023, Cidade, Viseu, preco m2, 5.33, arrendamento;
